Year,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Average Treatment Cost ($$$),Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%),Country_Australia,Country_Brazil,Country_Canada,Country_China,Country_France,Country_Germany,Country_India,Country_Indonesia,Country_Italy,Country_Japan,Country_Mexico,Country_Nigeria,Country_Russia,Country_Saudi Arabia,Country_South Africa,Country_South Korea,Country_Turkey,Country_UK,Country_USA,Disease Name_Asthma,Disease Name_COVID-19,Disease Name_Cancer,Disease Name_Cholera,Disease Name_Dengue,Disease Name_Diabetes,Disease Name_Ebola,Disease Name_HIV/AIDS,Disease Name_Hepatitis,Disease Name_Hypertension,Disease Name_Influenza,Disease Name_Leprosy,Disease Name_Malaria,Disease Name_Measles,Disease Name_Parkinson's Disease,Disease Name_Polio,Disease Name_Rabies,Disease Name_Tuberculosis,Disease Name_Zika,Disease Category_Bacterial,Disease Category_Cardiovascular,Disease Category_Chronic,Disease Category_Genetic,Disease Category_Infectious,Disease Category_Metabolic,Disease Category_Neurological,Disease Category_Parasitic,Disease Category_Respiratory,Disease Category_Viral,Age Group_19-35,Age Group_36-60,Age Group_61+,Gender_Male,Gender_Other,Treatment Type_Surgery,Treatment Type_Therapy,Treatment Type_Vaccination,Availability of Vaccines/Treatment_Yes
2001,2.92,1.17,7.35,276364,80.23,2.27,3.57,28401,51.53,1742,1.47,8526,0.4,31.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True
2014,5.94,4.29,2.36,857183,61.32,4.56,6.88,14578,72.97,433,1.4,52974,0.53,43.97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2021,11.24,4.78,5.68,947147,66.78,4.46,1.2,20397,98.55,4994,7.43,93229,0.64,46.04,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
2000,7.91,9.13,1.58,365955,64.87,1.28,4.67,8688,79.09,1480,9.56,85413,0.4,31.14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2010,10.58,12.3,2.37,822231,66.36,1.31,9.32,4533,52.91,4187,3.67,3239,0.52,71.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2001,16.03,7.29,0.39,804802,78.96,2.46,7.72,1676,80.52,2653,8.64,60168,0.45,41.91,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
2003,1.45,12.86,3.21,468005,63.31,2.53,1.41,12119,90.01,4128,7.68,19846,0.9,34.35,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
2022,11.63,8.99,0.54,402997,90.8,2.36,8.25,9975,84.78,3139,4.71,11786,0.6,87.24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False
2019,14.72,0.84,6.72,294143,50.0,2.23,9.51,26485,66.32,434,6.07,35741,0.78,82.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2002,12.61,12.98,5.45,116844,65.71,4.19,9.69,16118,64.88,747,8.59,4033,0.86,39.69,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
2006,15.12,9.04,6.9,834340,91.0,3.02,2.05,15983,89.49,3833,6.01,84531,0.9,80.19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2001,13.29,9.76,7.77,205610,89.47,3.6,8.46,1190,67.79,1989,4.73,50405,0.89,38.11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2003,13.85,4.52,3.23,700175,62.54,3.25,5.22,33734,75.62,4468,9.79,11089,0.48,24.44,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
2019,2.08,12.8,0.1,558329,55.52,0.78,6.89,36659,62.21,3997,6.08,21921,0.4,25.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
2011,6.42,10.08,0.29,136567,50.48,3.07,8.06,18886,80.2,1595,5.37,41181,0.73,25.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
2005,6.09,10.77,1.42,267802,95.85,3.42,9.14,27027,82.82,3580,9.46,66816,0.6,48.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
2006,10.53,2.5,5.09,923451,76.24,1.43,2.95,29311,93.53,110,6.45,51865,0.74,58.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
2014,12.52,3.13,9.14,828045,68.61,0.9,8.3,41081,61.53,2764,7.16,20964,0.86,85.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2022,3.77,1.02,3.0,509716,63.88,0.57,8.23,49265,51.6,4416,0.45,7171,0.48,36.94,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2008,4.6,4.94,2.08,215901,63.27,2.44,0.86,35024,73.99,3893,0.04,35337,0.49,80.47,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
2006,5.84,6.71,0.63,999156,95.87,2.02,5.29,47635,90.72,4251,3.48,9033,0.42,72.74,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True
2000,1.22,13.78,3.9,723071,56.9,3.04,3.53,45214,97.84,4746,3.3,24147,0.73,79.39,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
2022,6.97,2.22,6.35,534508,91.15,0.62,5.87,24653,76.34,2649,3.99,17444,0.5,59.77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
2017,3.04,2.12,4.46,639082,96.85,1.99,2.73,33639,71.36,3351,8.09,20359,0.73,86.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
2003,12.5,13.27,9.34,280906,89.39,3.91,5.6,16622,87.39,326,1.16,32806,0.61,70.08,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True
2010,0.13,13.99,1.46,134964,69.35,5.0,0.55,14688,61.6,1804,7.23,57996,0.79,42.37,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2003,1.08,0.18,3.54,596241,85.86,2.84,5.94,31291,53.7,3352,8.65,55241,0.59,85.04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2009,2.44,8.04,8.74,283322,97.18,4.05,5.16,26854,93.65,1398,7.02,49594,0.71,70.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2023,14.72,13.9,3.28,28737,97.73,4.51,5.6,24176,85.19,783,3.9,8158,0.61,76.37,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2003,0.19,14.26,8.38,349846,72.29,3.1,5.47,35329,81.85,3788,8.8,91267,0.58,45.22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2002,3.49,14.0,6.61,786558,58.08,4.73,3.98,21612,74.02,2576,9.07,43869,0.63,40.08,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
2022,17.12,4.84,7.71,343352,98.3,0.87,7.39,43779,84.34,607,7.43,98415,0.55,37.01,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
2015,18.17,12.36,2.68,417401,78.88,2.77,8.01,26058,81.03,1210,7.43,29542,0.63,46.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
2024,10.94,12.88,6.25,419192,94.54,1.99,5.36,16363,72.52,1274,5.36,9633,0.51,37.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2008,15.94,11.73,6.37,644854,51.11,4.32,5.53,17197,74.51,2835,8.59,33096,0.4,45.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2019,13.86,0.79,1.18,251830,71.56,0.73,0.67,29568,52.61,1731,6.47,12142,0.63,57.36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
2011,10.45,11.76,5.57,87481,99.11,2.64,1.49,33766,80.17,393,9.96,56348,0.65,74.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True
2007,15.6,0.63,7.03,653664,80.52,1.42,1.64,49833,91.28,3292,8.75,4120,0.44,83.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
2023,16.22,8.43,9.61,422327,51.8,3.75,2.98,27605,98.03,3145,4.23,13691,0.79,22.94,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
2014,0.55,0.85,3.83,123270,62.89,1.19,1.36,18513,58.47,4739,4.47,99993,0.69,26.87,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2017,13.63,8.09,7.03,633115,55.2,2.62,4.59,22954,66.11,4969,0.13,52433,0.41,65.18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2013,16.01,8.55,1.35,384573,81.59,3.08,3.16,18972,70.43,3356,8.75,14196,0.81,63.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2005,8.6,13.42,2.32,757834,82.86,2.72,5.17,14207,75.42,2297,3.93,22316,0.87,27.89,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2010,18.17,6.2,2.12,985553,88.65,3.82,5.76,14348,88.66,1984,4.35,45639,0.51,73.39,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2008,1.69,7.96,7.09,879623,98.94,1.41,3.93,12685,72.26,760,5.6,44330,0.58,77.15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
2017,1.17,10.47,5.72,368210,99.1,4.77,6.07,9051,96.1,4875,3.73,63276,0.56,35.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2006,9.01,3.55,6.53,773388,57.54,1.21,6.32,2932,64.38,3280,6.27,74864,0.54,25.16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
2000,3.96,5.55,0.62,815017,80.67,1.09,3.0,42062,67.77,800,5.45,91647,0.45,31.22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True
2024,5.88,12.37,4.73,767034,81.29,3.62,6.73,33829,75.4,2921,7.85,50348,0.87,56.51,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
2017,10.72,6.64,7.89,22434,93.27,1.15,5.08,32840,70.46,3298,7.44,41156,0.68,41.79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2006,3.95,4.0,8.84,116183,77.08,4.75,6.01,22983,64.73,3375,1.49,27909,0.76,79.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2002,7.13,6.96,4.02,251611,53.4,2.28,2.55,45671,94.23,1869,1.21,84905,0.82,88.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
2012,4.9,6.6,6.16,438583,53.83,1.33,5.89,40367,95.01,1674,5.37,48607,0.74,80.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
